File,FSL,Genus,species,AT,Lab_ID,Trial,HTST_Temp,PlateType,Storage_Temp,Day
ALL ESL IDs.xlsx#ALL,L8-0070,Bacillus,safensis,140,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0071,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0080,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0081,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0082,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0083,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0097,Bacillus,toyonensis,775,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0098,Bacillus,toyonensis,775,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0099,Bacillus,toyonensis,775,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0100,Lysinibacillus,sp.1,299,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0101,Bacillus,cereus_ss,296,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0121,Paenibacillus,peoriae_cf,239,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0122,Bacillus,cereus_ss,277,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0123,Lysinibacillus,sp.1,303,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0126,Lysinibacillus,sp.1,299,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0127,Paenibacillus,peoriae_cf,776,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0135,Bacillus,safensis,124,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0136,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0148,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0149,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0150,Paenibacillus,odorifer,27,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0152,Bacillus,cereus_ss,277,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0153,Bacillus,cereus_ss,277,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0167,Bacillus,safensis,254,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0168,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0171,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0173,Bacillus,sp.4,787,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0174,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0176,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0177,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0178,Paenibacillus,odorifer,27,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0186,Bacillus,licheniformis,6,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0187,Bacillus,safensis,1927,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0188,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0189,Bacillus,safensis,140,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0190,Paenibacillus,odorifer,27,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0191,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0192,Paenibacillus,odorifer,27,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0193,Bacillus,paralicheniformis,215,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0194,Paenibacillus,odorifer,15,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0195,Paenibacillus,peoriae_cf,777,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0196,Bacillus,licheniformis,1,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0197,Paenibacillus,sp.1,778,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0198,Lysinibacillus,sp.1,299,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0199,Bacillus,cereus_ss,366,,,,,,
ALL ESL IDs.xlsx#ALL,L8-0200,Paenibacillus,odorifer,15,,,,,,
